SR Legacy                                 ,FNDDS                                   ,Zameret             ,AUSNUT                          ,MEXT                                                               ,Baharain,FoundationFoods
,,,,,,10-Formyl folic acid (10HCOFA)
,,,,,,25-hydroxycholecalciferol
,,,,,,5-Formyltetrahydrofolic acid (5-HCOH4
,,,,,,5-methyl tetrahydrofolate (5-MTHF)
,,,,,,Beta-glucan
,,,,,,Beta-sitostanol
,,,,,,"Boron, B"
,,,,,,Brassicasterol
,,,,,,Campestanol
,,,,,,"Carbohydrate, by summation"
,,,,,,"Carotene, gamma"
,,,,,,"Choline, free"
,,,,,,"Choline, from glycerophosphocholine"
,,,,,,"Choline, from phosphocholine"
,,,,,,"Choline, from phosphotidyl choline"
,,,,,,"Choline, from sphingomyelin"
,,,,,,Citric acid
,,,,,,"Cobalt, Co"
,,,,,,"Cryptoxanthin, alpha"
,,,,,,Cysteine
,,,,,,Daidzein
,,,,,,Daidzin
,,,,,,Delta-5-avenasterol
,,,,,,Delta-7-Stigmastenol
,,,,,,Energy (Atwater General Factors)
,,,,,,Energy (Atwater Specific Factors)
,,,,,,"Ergosta-5,7-dienol"
,,,,,,"Ergosta-7,22-dienol"
,,,,,,Ergosta-7-enol
,,,,,,Ergosterol
,,,,,,Ergothioneine
,,,,,,"Fatty acids, total trans-dienoic"
,,,,,,"Fatty acids, total trans-polyenoic"
,,,,,,Genistein
,,,,,,Genistin
,,,,,,Glutathione
,,,,,,Glycitin
,,,,,,High Molecular Weight Dietary Fiber (HMWDF)
,,,,,,Low Molecular Weight Dietary Fiber (LMWDF)
,,,,,,Lutein
,,,,,,MUFA 12:1
,,,,,,MUFA 17:1 c
,,,,,,MUFA 20:1 c
,,,,,,MUFA 22:1 n-11
,,,,,,MUFA 22:1 n-9
,,,,,,Malic acid
,,,,,,"Nickel, Ni"
,,,,,,Nitrogen
,,,,,,Oxalic acid
,,,,,,PUFA 18:2 c
,,,,,,PUFA 18:3 c
,,,,,,PUFA 18:3i
,,,,,,PUFA 20:2 c
,,,,,,PUFA 20:3 c
,,,,,,PUFA 20:3 n-6
,,,,,,PUFA 20:3 n-9
,,,,,,PUFA 20:4c
,,,,,,PUFA 20:5c
,,,,,,PUFA 22:2
,,,,,,PUFA 22:3
,,,,,,PUFA 22:5 c
,,,,,,PUFA 22:6 c
,,,,,,Phytoene
,,,,,,Phytofluene
,,,,,,"Phytosterols, other"
,,,,,,Pyruvic acid
,,,,,,Quinic acid
,,,,,,Raffinose
,,,,,,Resistant starch
,,,,,,SFA 11:0
,,,,,,SFA 21:0
,,,,,,SFA 23:0
,,,,,,SFA 5:0
,,,,,,SFA 7:0
,,,,,,SFA 9:0
,,,,,,Specific Gravity
,,,,,,Stachyose
,,,,,,Stigmastadiene
,,,,,,"Sulfur, S"
,,,,,,TFA 14:1 t
,,,,,,TFA 18:2 t
,,,,,,TFA 18:3 t
,,,,,,TFA 20:1 t
,,,,,,Total Sugars
,,,,,,Total dietary fiber (AOAC 2011.25)
,,,,,,Total fat (NLEA)
,,,,,,Verbascose
,,,,,,Vitamin A
,,,,,,Vitamin D4
,,,,,,Zeaxanthin
,,,,,,cis-Lutein/Zeaxanthin
,,,,,,cis-Lycopene
,,,,,,cis-beta-Carotene
,,,,,,trans-Lycopene
,,,,,,trans-beta-Carotene
